0 0 0.000000
0 1 0.999999
0 2 0.999999
0 3 0.940830
0 4 0.000001
0 5 0.973388
0 6 0.000001
0 7 0.000081
0 8 0.999999
0 9 0.005416
0 10 0.999999
0 11 0.999999
0 12 0.000001
0 13 0.000081
0 14 0.000001
0 15 0.948382
0 16 0.999999
0 17 0.999999
0 18 0.958474
0 19 0.000103
0 20 0.948382
0 21 0.973388
0 22 0.999999
0 23 0.999999
0 24 0.000001
0 25 0.999999
0 26 0.973388
0 27 0.000001
0 28 0.973388
0 29 0.000001
0 30 0.999999
0 31 0.973388
0 32 0.000001
0 33 0.999999
0 34 0.005416
0 35 0.973388
0 36 0.999999
0 37 0.005416
0 38 0.948382
0 39 0.999999
0 40 0.000001
0 41 0.999999
0 42 0.999999
0 43 0.973388
0 44 0.999999
0 45 0.948382
0 46 0.000001
0 47 0.973388
0 48 0.999999
0 49 0.999999
0 50 0.958474
0 51 0.999999
0 52 0.948382
0 53 0.999999
0 54 0.973388
0 55 0.958474
0 56 0.999999
0 57 0.000081
0 58 0.005416
0 59 0.958474
0 60 0.973388
0 61 0.973388
0 62 0.000081
0 63 0.999999
0 64 0.006668
0 65 0.000001
0 66 0.000081
0 67 0.934795
0 68 0.999999
0 69 0.999999
0 70 0.929736
0 71 0.000002
0 72 0.973388
0 73 0.999999
0 74 0.958474
0 75 0.999999
0 76 0.000002
0 77 0.000001
0 78 0.999999
0 79 0.999999
0 80 0.999999
0 81 0.973388
0 82 0.005416
0 83 0.948382
0 84 0.999999
0 85 0.005416
0 86 0.999999
0 87 0.999999
0 88 0.999999
0 89 0.999999
0 90 0.000081
0 91 0.005416
0 92 0.005416
0 93 0.973388
0 94 0.999999
0 95 0.958474
0 96 0.973388
0 97 0.999999
0 98 0.000001
0 99 0.005416
1 0 0.999999
1 1 0.000000
1 2 0.005416
1 3 0.958474
1 4 0.973388
1 5 0.999999
1 6 0.999999
1 7 0.000001
1 8 0.973388
1 9 0.999999
1 10 0.000001
1 11 0.940830
1 12 0.000001
1 13 0.948382
1 14 0.973388
1 15 0.005416
1 16 0.005416
1 17 0.958474
1 18 0.000001
1 19 0.000001
1 20 0.973388
1 21 0.973388
1 22 0.973388
1 23 0.000081
1 24 0.000002
1 25 0.948382
1 26 0.000001
1 27 0.999999
1 28 0.999999
1 29 0.005416
1 30 0.973388
1 31 0.958474
1 32 0.999999
1 33 0.958474
1 34 0.005416
1 35 0.005416
1 36 0.958474
1 37 0.000001
1 38 0.973388
1 39 0.973388
1 40 0.000001
1 41 0.999999
1 42 0.958474
1 43 0.958474
1 44 0.934795
1 45 0.973388
1 46 0.000001
1 47 0.000001
1 48 0.999999
1 49 0.999999
1 50 0.999999
1 51 0.999999
1 52 0.005416
1 53 0.999999
1 54 0.000081
1 55 0.973388
1 56 0.999999
1 57 0.999999
1 58 0.000001
1 59 0.999999
1 60 0.000001
1 61 0.000001
1 62 0.973388
1 63 0.958474
1 64 0.999999
1 65 0.000001
1 66 0.999999
1 67 0.000001
1 68 0.973388
1 69 0.948382
1 70 0.999999
1 71 0.999999
1 72 0.973388
1 73 0.000001
1 74 0.999999
1 75 0.973388
1 76 0.999999
1 77 0.000081
1 78 0.000081
1 79 0.999999
1 80 0.958474
1 81 0.999999
1 82 0.958474
1 83 0.973388
1 84 0.000081
1 85 0.000001
1 86 0.948382
1 87 0.000001
1 88 0.999999
1 89 0.999999
1 90 0.948382
1 91 0.958474
1 92 0.973388
1 93 0.000001
1 94 0.958474
1 95 0.948382
1 96 0.999999
1 97 0.999999
1 98 0.000081
1 99 0.958474
2 0 0.999999
2 1 0.005416
2 2 0.000000
2 3 0.999999
2 4 0.999999
2 5 0.000001
2 6 0.973388
2 7 0.958474
2 8 0.999999
2 9 0.999999
2 10 0.999999
2 11 0.999999
2 12 0.958474
2 13 0.999999
2 14 0.999999
2 15 0.999999
2 16 0.958474
2 17 0.999999
2 18 0.000001
2 19 0.999999
2 20 0.000002
2 21 0.925332
2 22 0.999999
2 23 0.000001
2 24 0.948382
2 25 0.958474
2 26 0.005416
2 27 0.000001
2 28 0.973388
2 29 0.973388
2 30 0.999999
2 31 0.999999
2 32 0.999999
2 33 0.999999
2 34 0.170318
2 35 0.999999
2 36 0.973388
2 37 0.000002
2 38 0.958474
2 39 0.000001
2 40 0.999999
2 41 0.999999
2 42 0.000001
2 43 0.940830
2 44 0.000001
2 45 0.973388
2 46 0.948382
2 47 0.999999
2 48 0.999999
2 49 0.999999
2 50 0.999999
2 51 0.999999
2 52 0.973388
2 53 0.000081
2 54 0.999999
2 55 0.000001
2 56 0.999999
2 57 0.940830
2 58 0.000001
2 59 0.000001
2 60 0.999999
2 61 0.000081
2 62 0.999999
2 63 0.999999
2 64 0.999999
2 65 0.973388
2 66 0.999999
2 67 0.948382
2 68 0.005416
2 69 0.973388
2 70 0.999999
2 71 0.000002
2 72 0.999999
2 73 0.958474
2 74 0.000001
2 75 0.000081
2 76 0.005416
2 77 0.999999
2 78 0.973388
2 79 0.973388
2 80 0.005416
2 81 0.000001
2 82 0.000001
2 83 0.000001
2 84 0.973388
2 85 0.973388
2 86 0.005416
2 87 0.000001
2 88 0.999999
2 89 0.999999
2 90 0.999999
2 91 0.999999
2 92 0.958474
2 93 0.958474
2 94 0.973388
2 95 0.999999
2 96 0.999999
2 97 0.999999
2 98 0.958474
2 99 0.170318
3 0 0.940830
3 1 0.958474
3 2 0.999999
3 3 0.000000
3 4 0.948382
3 5 0.999999
3 6 0.000001
3 7 0.999999
3 8 0.999999
3 9 0.000001
3 10 0.940830
3 11 0.973388
3 12 0.999999
3 13 0.000001
3 14 0.000001
3 15 0.999999
3 16 0.958474
3 17 0.999999
3 18 0.973388
3 19 0.958474
3 20 0.000001
3 21 0.934795
3 22 0.000001
3 23 0.973388
3 24 0.000001
3 25 0.999999
3 26 0.000081
3 27 0.958474
3 28 0.999999
3 29 0.958474
3 30 0.948382
3 31 0.948382
3 32 0.000001
3 33 0.005416
3 34 0.000001
3 35 0.000001
3 36 0.958474
3 37 0.958474
3 38 0.999999
3 39 0.000001
3 40 0.973388
3 41 0.999999
3 42 0.940830
3 43 0.948382
3 44 0.999999
3 45 0.005416
3 46 0.958474
3 47 0.005416
3 48 0.999999
3 49 0.973388
3 50 0.000001
3 51 0.999999
3 52 0.999999
3 53 0.000001
3 54 0.000081
3 55 0.000001
3 56 0.973388
3 57 0.005416
3 58 0.999999
3 59 0.973388
3 60 0.999999
3 61 0.000081
3 62 0.973388
3 63 0.973388
3 64 0.999999
3 65 0.929736
3 66 0.958474
3 67 0.005416
3 68 0.999999
3 69 0.000081
3 70 0.000001
3 71 0.000001
3 72 0.973388
3 73 0.999999
3 74 0.000001
3 75 0.934795
3 76 0.000001
3 77 0.000001
3 78 0.999999
3 79 0.973388
3 80 0.000081
3 81 0.999999
3 82 0.973388
3 83 0.973388
3 84 0.999999
3 85 0.973388
3 86 0.999999
3 87 0.999999
3 88 0.000001
3 89 0.000001
3 90 0.170318
3 91 0.958474
3 92 0.999999
3 93 0.973388
3 94 0.000001
3 95 0.999999
3 96 0.999999
3 97 0.000001
3 98 0.999999
